admin0Pcode,admin0Name_en,admin1Pcode,admin1Name_en,admin2Pcode,Admin2Name_en,Pop2005UNDP,Urban2005UNDP,Rural2005UNDP,Pop2014UNFPA,Urban2014UNFPA,Rural2014UNFPA,IDP2014UNFPA
SO,Somalia,SO11,Awdal,SO1101,Borama,215616,82921,132695,398609,271045,127504,60
SO,Somalia,SO11,Awdal,SO1102,Baki,25500,8577,16923,96885,4243,92642,0
SO,Somalia,SO11,Awdal,SO1103,Lughaye,36104,14010,22094,100819,6407,86552,7860
SO,Somalia,SO11,Awdal,SO1104,Zeylac,28235,5434,22801,76951,6127,70754,70
SO,Somalia,SO12,Woqooyi Galbeed,SO1201,Hargeysa,560028,422515,137513,959081,691852,223229,44000
SO,Somalia,SO12,Woqooyi Galbeed,SO1202,Berbera,60753,42070,18683,176008,73971,101447,590
SO,Somalia,SO12,Woqooyi Galbeed,SO1203,Gebiley,79564,25847,53717,106914,36917,69997,0
SO,Somalia,SO13,Togdheer,SO1301,Burco,288211,96463,191748,460354,376010,58584,25760
SO,Somalia,SO13,Togdheer,SO1302,Buuhoodle,38428,9607,28821,83747,49979,33768,0
SO,Somalia,SO13,Togdheer,SO1303,Owdweyne,42031,11107,30924,101358,22798,78560,0
SO,Somalia,SO13,Togdheer,SO1304,Sheikh,33625,6225,27400,75904,34937,40967,0
SO,Somalia,SO14,Sool,SO1401,Laas Caanood,75436,24830,50606,156438,76498,76520,3420
SO,Somalia,SO14,Sool,SO1402,Caynabo,30702,6676,24026,59080,19572,38108,1400
SO,Somalia,SO14,Sool,SO1403,Taleex,25354,4371,20983,73529,13579,59950,0
SO,Somalia,SO14,Sool,SO1404,Xudun,18785,3257,15528,38380,11344,27036,0
SO,Somalia,SO15,Sanaag,SO1501,Ceerigaabo,114846,31098,83748,205318,85119,119389,810
SO,Somalia,SO15,Sanaag,SO1502,Ceel Afweyn,65797,12159,53638,99950,26043,73907,0
SO,Somalia,SO15,Sanaag,SO1503,Laasqoray,89724,12822,76902,238855,48555,190200,100
SO,Somalia,SO16,Bari,SO1601,Bossaso,164906,107181,57725,469566,394831,25735,49000
SO,Somalia,SO16,Bari,SO1602,Bandarbayla,14376,5400,8976,15481,4360,11121,0
SO,Somalia,SO16,Bari,SO1603,Caluula,40002,13000,27002,48986,9209,39777,0
SO,Somalia,SO16,Bari,SO1604,Iskushuban,45027,8508,36519,58415,3616,54799,0
SO,Somalia,SO16,Bari,SO1605,Qandala,42502,15600,26902,52111,6792,45319,0
SO,Somalia,SO16,Bari,SO1606,Qardho,60825,29944,30881,85588,52976,21966,10646
SO,Somalia,SO17,Nugaal,SO1701,Garoowe,78322,38994,39328,246702,99581,137626,9495
SO,Somalia,SO17,Nugaal,SO1702,Burtinle,34674,8669,26005,64963,31193,33770,0
SO,Somalia,SO17,Nugaal,SO1703,Eyl,32345,7086,25259,81032,8155,72877,0
SO,Somalia,SO18,Mudug,SO1801,Gaalkacyo,137667,54800,82867,389194,270651,72221,46322
SO,Somalia,SO18,Mudug,SO1802,Galdogob,40433,7067,33366,79595,41754,37821,20
SO,Somalia,SO18,Mudug,SO1803,Hobyo,67249,12811,54438,115222,13943,89599,11680
SO,Somalia,SO18,Mudug,SO1804,Jariiban,39207,6341,32866,81890,25028,56772,90
SO,Somalia,SO18,Mudug,SO1805,Xarardheere,65543,13386,52157,51961,30117,9074,12770
SO,Somalia,SO19,Galgaduud,SO1901,Dhuusamarreeb,91260,16819,74441,144407,36099,72908,35400
SO,Somalia,SO19,Galgaduud,SO1902,Cabudwaaq,41067,8413,32654,101959,46328,43463,12168
SO,Somalia,SO19,Galgaduud,SO1903,Cadaado,45630,9326,36304,129588,50099,52489,27000
SO,Somalia,SO19,Galgaduud,SO1904,Ceel Buur,79092,12818,66274,83610,12628,43692,27290
SO,Somalia,SO19,Galgaduud,SO1905,Ceel Dheer,73008,11601,61407,109870,38399,53561,17910
SO,Somalia,SO20,Hiraan,SO2001,Belet Weyne,172049,36469,135580,235214,31874,170930,32410
SO,Somalia,SO20,Hiraan,SO2002,Bulo Burto,111038,22365,88673,138283,25949,102714,9620
SO,Somalia,SO20,Hiraan,SO2003,Jalalaqsi,46724,10279,36445,147189,23556,114503,9130
SO,Somalia,SO21,Middle Shabelle,SO2101,Jowhar,269257,47090,222167,179097,63090,89637,26370
SO,Somalia,SO21,Middle Shabelle,SO2102,Adan Yabaal,62917,7200,55717,37781,7183,30598,0
SO,Somalia,SO21,Middle Shabelle,SO2103,Balcad,136007,30741,105266,212261,25295,164746,22220
SO,Somalia,SO21,Middle Shabelle,SO2104,Cadale,46720,10800,35920,86896,18780,64746,3370
SO,Somalia,SO22,Banadir,SO2201,Banadir,901183,901183,0,1650228,1280939,0,369289
SO,Somalia,SO23,Lower Shabelle,SO2301,Marka,192939,63900,129039,198301,42057,119144,37100
SO,Somalia,SO23,Lower Shabelle,SO2302,Afgooye,211712,33107,178605,238655,61604,152241,24810
SO,Somalia,SO23,Lower Shabelle,SO2303,Baraawe,57652,15413,42239,74072,12296,48136,13640
SO,Somalia,SO23,Lower Shabelle,SO2304,Kurtunwaarey,55445,7426,48019,262317,8613,252214,1490
SO,Somalia,SO23,Lower Shabelle,SO2305,Qoryooley,134205,22841,111364,292392,42398,239104,10890
SO,Somalia,SO23,Lower Shabelle,SO2306,Sablaale,43055,8011,35044,23447,6658,16039,750
SO,Somalia,SO23,Lower Shabelle,SO2307,Wanla Weyn,155643,22016,133627,113035,42126,56619,14290
SO,Somalia,SO24,Bay,SO2401,Baidoa,320463,72793,247670,315679,36576,258433,20670
SO,Somalia,SO24,Bay,SO2402,Buur Hakaba,125616,25123,100493,197198,25192,160236,11770
SO,Somalia,SO24,Bay,SO2403,Diinsoor,75769,12154,63615,174932,23692,147910,3330
SO,Somalia,SO24,Bay,SO2404,Qansax Dheere,98714,16743,81971,104373,7586,92737,4050
SO,Somalia,SO25,Bakool,SO2501,Xudur,93049,19110,73939,108902,19992,84110,4800
SO,Somalia,SO25,Bakool,SO2502,Ceel Barde,29179,5335,23844,59129,4626,51503,3000
SO,Somalia,SO25,Bakool,SO2503,Tayeeglow,81053,16221,64832,73675,17898,48577,7200
SO,Somalia,SO25,Bakool,SO2504,Waajid,69694,14439,55255,87869,19413,59456,9000
SO,Somalia,SO25,Bakool,SO2505,Rab Dhuure,37652,6333,31319,37652,0,37652,0
SO,Somalia,SO26,Gedo,SO2601,Garbahaarey,57023,17252,39771,76952,18422,49530,9000
SO,Somalia,SO26,Gedo,SO2602,Baardheere,106172,25544,80628,177384,30369,129015,18000
SO,Somalia,SO26,Gedo,SO2603,Belet Xaawo,55989,13597,42392,83116,26920,43636,12560
SO,Somalia,SO26,Gedo,SO2604,Ceel Waaq,19996,4559,15437,60046,10106,36930,13010
SO,Somalia,SO26,Gedo,SO2605,Doolow,26495,5674,20821,41245,7559,25908,7778
SO,Somalia,SO26,Gedo,SO2606,Luuq,62703,14676,48027,69660,15765,37515,16380
SO,Somalia,SO27,Middle Juba,SO2701,Bu'aale,59489,13588,45901,108986,17475,79511,12000
SO,Somalia,SO27,Middle Juba,SO2702,Jilib ,113415,29951,83464,174819,20761,146058,8000
SO,Somalia,SO27,Middle Juba,SO2703,Saakow,65973,11200,54773,79116,18006,54110,7000
SO,Somalia,SO28,Lower Juba,SO2801,Kismaayo,166667,89333,77334,162733,116440,36293,10000
SO,Somalia,SO28,Lower Juba,SO2802,Afmadow,51334,7122,44212,172485,34783,124702,13000
SO,Somalia,SO28,Lower Juba,SO2803,Badhaadhe,38640,5812,32828,56178,11483,44095,600
SO,Somalia,SO28,Lower Juba,SO2804,Jamaame,129149,22415,106734,97911,10155,80756,7000
